A_T0	a_m a_m
GUO_T3	gu o_l o_l
GUO_T4	gu o_h o_l
HA_T0	h a_m a_m
HA_T1	h a_h a_h
HA_T2	h a_l a_h
HA_T3	h a_l a_l
HA_T4	h a_h a_l
HAI_T0	h a_m eh_m
HAI_T1	h a_h eh_h
HAI_T2	h a_l eh_h
HAI_T3	h a_l eh_l
HAI_T4	h a_h eh_l
HAN_T0	h a_m nn_m
HAN_T1	h a_h nn_h
HAN_T2	h a_l nn_h
HAN_T3	h a_l nn_l
HAN_T4	h a_h nn_l
HANG_T0	h aa_m ng_m
HANG_T1	h aa_h ng_h
HANG_T2	h aa_l ng_h
HANG_T3	h aa_l ng_l
HANG_T4	h aa_h ng_l
HAO_T0	h aa_m o_m
HAO_T1	h aa_h o_h
HAO_T2	h aa_l o_h
HAO_T3	h aa_l o_l
HAO_T4	h aa_h o_l
HE_T0	h el_m el_m
HE_T1	h el_h el_h
HE_T2	h el_l el_h
HE_T3	h el_l el_l
HE_T4	h el_h el_l
HEI_T0	h eh_m i_m
HEI_T1	h eh_h i_h
HEI_T2	h eh_l i_h
HEI_T3	h eh_l i_l
HEI_T4	h eh_h i_l
HEN_T0	h el_m nn_m
HEN_T1	h el_h nn_h
HEN_T2	h el_l nn_h
HEN_T3	h el_l nn_l
HEN_T4	h el_h nn_l
HENG_T0	h el_m ng_m
HENG_T1	h el_h ng_h
HENG_T2	h el_l ng_h
HENG_T3	h el_l ng_l
HENG_T4	h el_h ng_l
HONG_T0	hu u_m ng_m
HONG_T1	hu u_h ng_h
HONG_T2	hu u_l ng_h
HONG_T3	hu u_l ng_l
HONG_T4	hu u_h ng_l
HOU_T0	h o_m u_m
HOU_T1	h o_h u_h
HOU_T2	h o_l u_h
HOU_T3	h o_l u_l
HOU_T4	h o_h u_l
HU_T0	hu u_m u_m
HU_T1	hu u_h u_h
HU_T2	hu u_l u_h
HU_T3	hu u_l u_l
HU_T4	hu u_h u_l
HUA_T0	hu a_m a_m
HUA_T1	hu a_h a_h
HUA_T2	hu a_l a_h
HUA_T3	hu a_l a_l
HUA_T4	hu a_h a_l
HUAI_T0	hu a_m eh_m
HUAI_T1	hu a_h eh_h
HUAI_T2	hu a_l eh_h
HUAI_T3	hu a_l eh_l
HUAI_T4	hu a_h eh_l
HUAN_T0	hu a_m nn_m
HUAN_T1	hu a_h nn_h
HUAN_T2	hu a_l nn_h
HUAN_T3	hu a_l nn_l
HUAN_T4	hu a_h nn_l
HUANG_T0	hu aa_m ng_m
HUANG_T1	hu aa_h ng_h
HUANG_T2	hu aa_l ng_h
HUANG_T3	hu aa_l ng_l
HUANG_T4	hu aa_h ng_l
HUI_T0	hu eh_m i_m
HUI_T1	hu eh_h i_h
HUI_T2	hu eh_l i_h
HUI_T3	hu eh_l i_l
HUI_T4	hu eh_h i_l
HUN_T0	hu el_m nn_m
HUN_T1	hu el_h nn_h
HUN_T2	hu el_l nn_h
HUN_T3	hu el_l nn_l
HUN_T4	hu el_h nn_l
HUO_T0	hu o_m o_m
HUO_T1	hu o_h o_h
HUO_T2	hu o_l o_h
HUO_T3	hu o_l o_l
HUO_T4	hu o_h o_l
JI_T0	ji i_m i_m
JI_T1	ji i_h i_h
JI_T2	ji i_l i_h
JI_T3	ji i_l i_l
JI_T4	ji i_h i_l
JIA_T0	ji a_m a_m
JIA_T1	ji a_h a_h
JIA_T2	ji a_l a_h
JIA_T3	ji a_l a_l
JIA_T4	ji a_h a_l
JIAN_T0	ji a_m nn_m
JIAN_T1	ji a_h nn_h
JIAN_T2	ji a_l nn_h
JIAN_T3	ji a_l nn_l
JIAN_T4	ji a_h nn_l
JIANG_T0	ji aa_m ng_m
JIANG_T1	ji aa_h ng_h
JIANG_T2	ji aa_l ng_h
JIANG_T3	ji aa_l ng_l
JIANG_T4	ji aa_h ng_l
JIAO_T0	ji aa_m o_m
JIAO_T1	ji aa_h o_h
JIAO_T2	ji aa_l o_h
JIAO_T3	ji aa_l o_l
JIAO_T4	ji aa_h o_l
JIE_T0	ji eh_m eh_m
JIE_T1	ji eh_h eh_h
JIE_T2	ji eh_l eh_h
JIE_T3	ji eh_l eh_l
JIE_T4	ji eh_h eh_l
JIN_T0	ji i_m nn_m
JIN_T1	ji i_h nn_h
JIN_T2	ji i_l nn_h
JIN_T3	ji i_l nn_l
JIN_T4	ji i_h nn_l
JING_T0	ji el_m ng_m
JING_T1	ji el_h ng_h
JING_T2	ji el_l ng_h
JING_T3	ji el_l ng_l
JING_T4	ji el_h ng_l
JIONG_T0	jv u_m ng_m
JIONG_T1	jv u_h ng_h
JIONG_T2	jv u_l ng_h
JIONG_T3	jv u_l ng_l
JIONG_T4	jv u_h ng_l
JIU_T0	ji o_m u_m
JIU_T1	ji o_h u_h
JIU_T2	ji o_l u_h
JIU_T3	ji o_l u_l
JIU_T4	ji o_h u_l
JU_T0	jv v_m v_m
JU_T1	jv v_h v_h
JU_T2	jv v_l v_h
JU_T3	jv v_l v_l
JU_T4	jv v_h v_l
JUAN_T0	jv a_m nn_m
JUAN_T1	jv a_h nn_h
JUAN_T2	jv a_l nn_h
JUAN_T3	jv a_l nn_l
JUAN_T4	jv a_h nn_l
JUE_T0	jv eh_m eh_m
JUE_T1	jv eh_h eh_h
JUE_T2	jv eh_l eh_h
JUE_T3	jv eh_l eh_l
JUE_T4	jv eh_h eh_l
JUN_T0	jv el_m nn_m
JUN_T1	jv el_h nn_h
JUN_T2	jv el_l nn_h
JUN_T3	jv el_l nn_l
JUN_T4	jv el_h nn_l
KA_T0	k a_m a_m
KA_T1	k a_h a_h
KA_T2	k a_l a_h
KA_T3	k a_l a_l
KA_T4	k a_h a_l
KAI_T0	k a_m eh_m
KAI_T1	k a_h eh_h
KAI_T2	k a_l eh_h
KAI_T3	k a_l eh_l
KAI_T4	k a_h eh_l
KAN_T0	k a_m nn_m
KAN_T1	k a_h nn_h
KAN_T2	k a_l nn_h
KAN_T3	k a_l nn_l
KAN_T4	k a_h nn_l
KANG_T0	k aa_m ng_m
KANG_T1	k aa_h ng_h
KANG_T2	k aa_l ng_h
KANG_T3	k aa_l ng_l
KANG_T4	k aa_h ng_l
KAO_T0	k aa_m o_m
KAO_T1	k aa_h o_h
KAO_T2	k aa_l o_h
KAO_T3	k aa_l o_l
KAO_T4	k aa_h o_l
KE_T0	k el_m el_m
KE_T1	k el_h el_h
KE_T2	k el_l el_h
KE_T3	k el_l el_l
KE_T4	k el_h el_l
KEI_T0	k eh_m i_m
KEI_T1	k eh_h i_h
KEI_T2	k eh_l i_h
KEI_T3	k eh_l i_l
KEI_T4	k eh_h i_l
KEN_T0	k el_m nn_m
KEN_T1	k el_h nn_h
KEN_T2	k el_l nn_h
KEN_T3	k el_l nn_l
KEN_T4	k el_h nn_l
KENG_T0	k el_m ng_m
KENG_T1	k el_h ng_h
KENG_T2	k el_l ng_h
KENG_T3	k el_l ng_l
KENG_T4	k el_h ng_l
KIU_T0	ku o_m u_m
KIU_T1	ku o_h u_h
KIU_T2	ku o_l u_h
KIU_T3	ku o_l u_l
KIU_T4	ku o_h u_l
KONG_T0	ku u_m ng_m
KONG_T1	ku u_h ng_h
KONG_T2	ku u_l ng_h
KONG_T3	ku u_l ng_l
KONG_T4	ku u_h ng_l
KOU_T0	k o_m u_m
KOU_T1	k o_h u_h
KOU_T2	k o_l u_h
KOU_T3	k o_l u_l
KOU_T4	k o_h u_l
KU_T0	ku u_m u_m
KU_T1	ku u_h u_h
KU_T2	ku u_l u_h
