冟	SHI_T4
冠	GUAN_T1;GUAN_T4;GUAN_T0
冡	MENG_T2
冢	ZHONG_T3
冣	JU_T4
冤	YUAN_T1
冥	MING_T2
冦	KOU_T4
冧	LIN_T2
冨	FU_T4
冩	XIE_T4
冫	BING_T1;LIANG_T3
冬	DONG_T1
冭	TAI_T4
冮	GANG_T1
冯	FENG_T2;PING_T2
冰	BING_T1
冱	HU_T4
冲	CHONG_T1;CHONG_T4
决	JUE_T2
冴	HU_T4
况	KUANG_T4
冶	YE_T3
冷	LENG_T3
冸	PAN_T4
冹	FU_T2
冺	MIN_T3
冻	DONG_T4
冼	XIAN_T3
冽	LIE_T4
冾	QIA_T4
冿	JIAN_T1
净	JING_T4
凁	SOU_T1
凂	MEI_T3
凃	TU_T2
凄	QI_T1
凅	GU_T4
准	ZHUN_T3
凇	SONG_T1
凊	QING_T4
凋	DIAO_T1
凌	LING_T1;LING_T2
凎	GAN_T4
减	JIAN_T3
凐	YIN_T1
凑	COU_T4
凒	AI_T2
凓	LI_T4
凔	CANG_T1
凕	MING_T3
凖	ZHUN_T3
凗	CUI_T1
凘	SI_T1
凙	DUO_T2
凚	JIN_T4
凛	LIN_T3
凝	NING_T2
凞	XI_T1
凟	DU_T2
几	JI_T1;JI_T3
凡	FAN_T2
凢	FAN_T2
凣	FAN_T2
凤	FENG_T4
凥	JU_T1
処	CHU_T3
凨	FENG_T1
凫	FU_T2
凬	FENG_T1
凭	PING_T2
凮	FENG_T1
凯	KAI_T3
凰	HUANG_T2
凲	GAN_T1
凳	DENG_T4
凴	PING_T2
凵	KAN_T3;QIAN_T3;SHAN_T1
凶	XIONG_T1
凷	KUAI_T4
凸	TU_T1
凹	AO_T1;WA_T1
出	CHU_T1;CHU_T0
击	JI_T1
凼	DANG_T4
函	HAN_T2
凾	HAN_T2
凿	ZAO_T2;ZUO_T4
刀	DAO_T1
刁	DIAO_T1
刂	CE_T4;DAO_T1;LI_T4
刃	REN_T4
刄	REN_T4
刅	CHUANG_T1
分	FEN_T1;FEN_T4;FEN_T0
切	QIE_T1;QIE_T4
刈	YI_T4
刉	JI_T1
刊	KAN_T1
刋	QIAN_T4
刌	CUN_T3
刍	CHU_T2
刎	WEN_T3
刏	JI_T1
刐	DAN_T3
刑	XING_T2
划	HUA_T4;HUA_T2;HUA_T0;HUAI_T0
刓	WAN_T2
刔	JUE_T2
刕	LI_T2
刖	YUE_T4
列	LIE_T4
刘	LIU_T2
则	ZE_T2
刚	GANG_T1
创	CHUANG_T1;CHUANG_T4
刜	FU_T2
初	CHU_T1
刞	QU_T4
刟	DIAO_T1
删	SHAN_T1
刡	MIN_T3
刢	LING_T2
刣	ZHONG_T1
判	PAN_T4
刦	JIE_T2
刧	JIE_T2
刨	BAO_T4;PAO_T2
利	LI_T4;LI_T0
别	BIE_T4;BIE_T2;BIE_T0
刬	CHAN_T4;CHAN_T3
刭	JING_T3
刮	GUA_T1
刯	GENG_T1
到	DAO_T4
刱	CHUANG_T4
刲	KUI_T1
刳	KU_T1
刴	DUO_T4
刵	ER_T4
制	ZHI_T4
刷	SHUA_T1;SHUA_T4
券	QUAN_T4;XUAN_T4
刹	CHA_T4;SHA_T1
刺	CI_T1;CI_T4
刻	KE_T4
刼	JIE_T2
刽	GUI_T4;KUAI_T4
刾	CI_T4
刿	GUI_T4
剀	KAI_T3
剁	DUO_T4
剂	JI_T4
剃	TI_T4
剅	DOU_T1
剆	LUO_T3
剈	YUAN_T1
削	XIAO_T1;XUE_T1
剋	KEI_T1;KE_T4
剌	LA_T4;LA_T2
前	QIAN_T2
剏	CHUANG_T4
剐	GUA_T3
剑	JIAN_T4
剒	CUO_T4
剓	LI_T2
剔	TI_T1;TI_T4
剕	FEI_T4
剖	PAO_T1;POU_T1
剗	CHAN_T4;CHAN_T3
剘	QI_T2
剙	CHUANG_T4
剚	ZI_T4
剜	WAN_T1
剞	JI_T1
剟	DUO_T1
剠	QING_T2
剡	SHAN_T4;YAN_T3
剢	ZHUO_T2
剣	JIAN_T4
剤	JI_T4
剥	BAO_T1;BO_T1;PU_T1
剧	JU_T4
剨	HUO_T1
剩	SHENG_T4
剪	JIAN_T3
剫	DUO_T2
剬	ZHI_T4
剭	WU_T1
副	FU_T4
剰	SHENG_T4
剱	JIAN_T4
割	GE_T1
剳	ZHA_T2
剶	CHUAN_T1
剸	TUAN_T2;ZHUAN_T1
剹	LU_T4
剺	LI_T2
剻	PENG_T3
剼	SHAN_T1
剽	PIAO_T1
剾	KOU_T1
剿	CHAO_T1;JIAO_T3
劀	GUA_T1
劁	QIAO_T1
劂	JUE_T2
劅	ZHUO_T2
劆	LIAN_T2
劈	PI_T1;PI_T3
劋	JIAO_T3
劎	JIAN_T4
劏	TONG_T1
劐	HUO_T1
劒	JIAN_T4
劓	YI_T4
劔	JIAN_T4
劕	ZHI_T4
劖	CHAN_T2
劗	ZUAN_T1
劘	MO_T2
劙	LI_T2
劚	ZHU_T2
力	LI_T4
劜	YA_T4
劝	QUAN_T4
办	BAN_T4
功	GONG_T1
加	JIA_T1
务	WU_T4;WU_T0
劢	MAI_T4
劣	LIE_T4
劤	JING_T4
劥	KENG_T1
劦	XIE_T2
劧	ZHI_T3
